,State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years),Political Party Governing
433,Florida,FL,> 8th Grade,2016,6695,225022,28.7,R
434,Florida,FL,Associate Degree,2016,22599,225022,29.9,R
435,Florida,FL,Bahcelor's Degree,2016,39955,225022,31.5,R
436,Florida,FL,Doctorate,2016,4537,225022,33.6,R
437,Florida,FL,High School Grad,2016,69527,225022,27.0,R
438,Florida,FL,Master's Degree,2016,15897,225022,32.85,R
439,Florida,FL,Some College Credit,2016,42571,225022,28.3,R
440,Florida,FL,Unknown,2016,2379,225022,29.6,R
441,Florida,FL,9th > 12th Grade,2017,20152,223630,25.2,R
442,Florida,FL,> 8th Grade,2017,6623,223630,28.65,R
443,Florida,FL,Associate Degree,2017,22571,223630,30.0,R
444,Florida,FL,Bahcelor's Degree,2017,40002,223630,31.6,R
445,Florida,FL,Doctorate,2017,4656,223630,33.75,R
446,Florida,FL,High School Grad,2017,69578,223630,27.1,R
447,Florida,FL,Master's Degree,2017,15869,223630,32.95,R
448,Florida,FL,Some College Credit,2017,41760,223630,28.45,R
449,Florida,FL,Unknown,2017,2419,223630,29.95,R
450,Florida,FL,9th > 12th Grade,2018,18922,221542,25.45,R
451,Florida,FL,> 8th Grade,2018,6404,221542,28.95,R
452,Florida,FL,Associate Degree,2018,22817,221542,30.15,R
453,Florida,FL,Bahcelor's Degree,2018,41416,221542,31.7,R
454,Florida,FL,Doctorate,2018,4887,221542,33.7,R
455,Florida,FL,High School Grad,2018,67627,221542,27.3,R
456,Florida,FL,Master's Degree,2018,16318,221542,33.0,R
457,Florida,FL,Some College Credit,2018,40610,221542,28.6,R
458,Florida,FL,Unknown,2018,2541,221542,29.15,R
459,Florida,FL,9th > 12th Grade,2019,17660,220002,25.45,R
460,Florida,FL,> 8th Grade,2019,6252,220002,28.6,R
461,Florida,FL,Associate Degree,2019,22586,220002,30.25,R
462,Florida,FL,Bahcelor's Degree,2019,42240,220002,31.8,R
463,Florida,FL,Doctorate,2019,5226,220002,33.95,R
464,Florida,FL,High School Grad,2019,68336,220002,27.35,R
465,Florida,FL,Master's Degree,2019,16610,220002,33.2,R
466,Florida,FL,Some College Credit,2019,39055,220002,28.85,R
467,Florida,FL,Unknown,2019,2037,220002,29.45,R
468,Florida,FL,9th > 12th Grade,2020,16227,209671,25.55,R
469,Florida,FL,> 8th Grade,2020,5917,209671,28.65,R
470,Florida,FL,Associate Degree,2020,21882,209671,30.3,R
471,Florida,FL,Bahcelor's Degree,2020,41239,209671,31.85,R
472,Florida,FL,Doctorate,2020,5056,209671,33.95,R
473,Florida,FL,High School Grad,2020,65185,209671,27.4,R
474,Florida,FL,Master's Degree,2020,16558,209671,33.25,R
475,Florida,FL,Some College Credit,2020,35973,209671,28.95,R
476,Florida,FL,Unknown,2020,1634,209671,29.5,R
477,Florida,FL,9th > 12th Grade,2021,15340,216260,25.85,R
478,Florida,FL,> 8th Grade,2021,5867,216260,28.6,R
479,Florida,FL,Associate Degree,2021,22968,216260,30.4,R
480,Florida,FL,Bahcelor's Degree,2021,43722,216260,31.9,R
481,Florida,FL,Doctorate,2021,5555,216260,34.1,R
482,Florida,FL,High School Grad,2021,66101,216260,27.5,R
483,Florida,FL,Master's Degree,2021,17835,216260,33.3,R
484,Florida,FL,Some College Credit,2021,36563,216260,29.25,R
485,Florida,FL,Unknown,2021,2309,216260,29.85,R
486,Georgia,GA,9th > 12th Grade,2016,13833,130042,24.35,R
487,Georgia,GA,> 8th Grade,2016,4894,130042,28.85,R
488,Georgia,GA,Associate Degree,2016,8666,130042,29.4,R
489,Georgia,GA,Bahcelor's Degree,2016,26734,130042,31.2,R
490,Georgia,GA,Doctorate,2016,2133,130042,33.75,R
491,Georgia,GA,High School Grad,2016,38270,130042,26.05,R
492,Georgia,GA,Master's Degree,2016,9350,130042,32.7,R
493,Georgia,GA,Some College Credit,2016,24983,130042,27.45,R
494,Georgia,GA,Unknown,2016,1179,130042,28.75,R
495,Georgia,GA,9th > 12th Grade,2017,12620,129243,24.45,R
496,Georgia,GA,> 8th Grade,2017,4411,129243,29.35,R
497,Georgia,GA,Associate Degree,2017,8933,129243,29.45,R
498,Georgia,GA,Bahcelor's Degree,2017,27994,129243,31.3,R
499,Georgia,GA,Doctorate,2017,2145,129243,33.8,R
500,Georgia,GA,High School Grad,2017,39389,129243,26.2,R
501,Georgia,GA,Master's Degree,2017,8654,129243,32.55,R
502,Georgia,GA,Some College Credit,2017,24268,129243,27.6,R
503,Georgia,GA,Unknown,2017,829,129243,29.0,R
504,Georgia,GA,9th > 12th Grade,2018,11878,126172,24.55,R
505,Georgia,GA,> 8th Grade,2018,4086,126172,28.9,R
506,Georgia,GA,Associate Degree,2018,9470,126172,29.7,R
507,Georgia,GA,Bahcelor's Degree,2018,26669,126172,31.4,R
508,Georgia,GA,Doctorate,2018,2114,126172,34.0,R
509,Georgia,GA,High School Grad,2018,39741,126172,26.35,R
510,Georgia,GA,Master's Degree,2018,8745,126172,32.8,R
511,Georgia,GA,Some College Credit,2018,22893,126172,27.75,R
512,Georgia,GA,Unknown,2018,576,126172,28.9,R
513,Georgia,GA,9th > 12th Grade,2019,11851,126371,24.75,R
514,Georgia,GA,> 8th Grade,2019,4023,126371,28.85,R
515,Georgia,GA,Associate Degree,2019,9844,126371,29.75,R
516,Georgia,GA,Bahcelor's Degree,2019,26902,126371,31.4,R
517,Georgia,GA,Doctorate,2019,2145,126371,34.05,R
518,Georgia,GA,High School Grad,2019,39582,126371,26.4,R
519,Georgia,GA,Master's Degree,2019,8609,126371,32.8,R
520,Georgia,GA,Some College Credit,2019,22718,126371,27.9,R
521,Georgia,GA,Unknown,2019,697,126371,28.7,R
522,Georgia,GA,9th > 12th Grade,2020,10885,122473,24.8,R
523,Georgia,GA,> 8th Grade,2020,3810,122473,29.05,R
524,Georgia,GA,Associate Degree,2020,9509,122473,29.85,R
525,Georgia,GA,Bahcelor's Degree,2020,26192,122473,31.4,R
526,Georgia,GA,Doctorate,2020,2113,122473,34.05,R
527,Georgia,GA,High School Grad,2020,39675,122473,26.55,R
528,Georgia,GA,Master's Degree,2020,8730,122473,32.75,R
529,Georgia,GA,Some College Credit,2020,21146,122473,28.0,R
530,Georgia,GA,Unknown,2020,413,122473,29.35,R
531,Georgia,GA,9th > 12th Grade,2021,10174,124073,24.9,R
532,Georgia,GA,> 8th Grade,2021,3662,124073,29.0,R
533,Georgia,GA,Associate Degree,2021,9898,124073,29.95,R
534,Georgia,GA,Bahcelor's Degree,2021,27451,124073,31.5,R
535,Georgia,GA,Doctorate,2021,2483,124073,34.1,R
536,Georgia,GA,High School Grad,2021,40316,124073,26.7,R
537,Georgia,GA,Master's Degree,2021,9675,124073,32.85,R
538,Georgia,GA,Some College Credit,2021,20086,124073,28.2,R
539,Georgia,GA,Unknown,2021,328,124073,28.8,R
540,Hawaii,HI,9th > 12th Grade,2016,2959,18059,26.75,D
541,Hawaii,HI,> 8th Grade,2016,157,18059,27.7,D
542,Hawaii,HI,Associate Degree,2016,2298,18059,30.1,D
543,Hawaii,HI,Bahcelor's Degree,2016,3895,18059,31.8,D
544,Hawaii,HI,Doctorate,2016,216,18059,34.5,D
545,Hawaii,HI,High School Grad,2016,3457,18059,26.45,D
546,Hawaii,HI,Master's Degree,2016,1498,18059,34.05,D
547,Hawaii,HI,Some College Credit,2016,3476,18059,28.35,D
548,Hawaii,HI,Unknown,2016,103,18059,29.55,D
549,Hawaii,HI,9th > 12th Grade,2017,3044,17517,26.45,D
550,Hawaii,HI,> 8th Grade,2017,149,17517,27.25,D
551,Hawaii,HI,Associate Degree,2017,2174,17517,30.25,D
552,Hawaii,HI,Bahcelor's Degree,2017,3800,17517,32.15,D
553,Hawaii,HI,Doctorate,2017,249,17517,34.6,D
554,Hawaii,HI,High School Grad,2017,3124,17517,26.75,D
555,Hawaii,HI,Master's Degree,2017,1471,17517,33.8,D
556,Hawaii,HI,Some College Credit,2017,3392,17517,28.4,D
557,Hawaii,HI,Unknown,2017,114,17517,28.95,D
558,Hawaii,HI,9th > 12th Grade,2018,2858,16972,26.7,D
559,Hawaii,HI,> 8th Grade,2018,137,16972,27.95,D
560,Hawaii,HI,Associate Degree,2018,1976,16972,30.6,D
561,Hawaii,HI,Bahcelor's Degree,2018,3889,16972,32.1,D
562,Hawaii,HI,Doctorate,2018,248,16972,34.5,D
563,Hawaii,HI,High School Grad,2018,2907,16972,26.8,D
564,Hawaii,HI,Master's Degree,2018,1407,16972,34.05,D
565,Hawaii,HI,Some College Credit,2018,3433,16972,28.75,D
566,Hawaii,HI,Unknown,2018,117,16972,29.95,D
567,Hawaii,HI,9th > 12th Grade,2019,2863,16797,26.8,D
568,Hawaii,HI,> 8th Grade,2019,137,16797,27.95,D
569,Hawaii,HI,Associate Degree,2019,1681,16797,30.9,D
570,Hawaii,HI,Bahcelor's Degree,2019,3803,16797,32.25,D
571,Hawaii,HI,Doctorate,2019,246,16797,34.9,D
572,Hawaii,HI,High School Grad,2019,2941,16797,26.95,D
573,Hawaii,HI,Master's Degree,2019,1455,16797,34.1,D
574,Hawaii,HI,Some College Credit,2019,3518,16797,28.85,D
575,Hawaii,HI,Unknown,2019,153,16797,28.25,D
576,Hawaii,HI,9th > 12th Grade,2020,2535,15785,27.25,D
577,Hawaii,HI,> 8th Grade,2020,116,15785,28.75,D
578,Hawaii,HI,Associate Degree,2020,1622,15785,30.7,D
579,Hawaii,HI,Bahcelor's Degree,2020,3698,15785,32.1,D
580,Hawaii,HI,Doctorate,2020,245,15785,34.75,D
581,Hawaii,HI,High School Grad,2020,2797,15785,26.85,D
582,Hawaii,HI,Master's Degree,2020,1388,15785,34.15,D
583,Hawaii,HI,Some College Credit,2020,3125,15785,28.8,D
584,Hawaii,HI,Unknown,2020,259,15785,29.8,D
585,Hawaii,HI,9th > 12th Grade,2021,2354,15620,27.15,D
586,Hawaii,HI,> 8th Grade,2021,102,15620,29.4,D
587,Hawaii,HI,Associate Degree,2021,1580,15620,31.05,D
588,Hawaii,HI,Bahcelor's Degree,2021,3744,15620,32.2,D
589,Hawaii,HI,Doctorate,2021,296,15620,34.55,D
590,Hawaii,HI,High School Grad,2021,2719,15620,27.05,D
591,Hawaii,HI,Master's Degree,2021,1523,15620,34.25,D
592,Hawaii,HI,Some College Credit,2021,3000,15620,29.4,D
593,Hawaii,HI,Unknown,2021,302,15620,30.15,D
594,Idaho,ID,9th > 12th Grade,2016,1963,22482,24.15,R
595,Idaho,ID,> 8th Grade,2016,539,22482,30.55,R
596,Idaho,ID,Associate Degree,2016,2321,22482,29.15,R
597,Idaho,ID,Bahcelor's Degree,2016,4677,22482,30.15,R
598,Idaho,ID,Doctorate,2016,293,22482,33.3,R
599,Idaho,ID,High School Grad,2016,5783,22482,25.95,R
600,Idaho,ID,Master's Degree,2016,1036,22482,32.6,R
601,Idaho,ID,Some College Credit,2016,5761,22482,27.35,R
602,Idaho,ID,Unknown,2016,109,22482,29.45,R
603,Idaho,ID,9th > 12th Grade,2017,1946,22181,24.35,R
604,Idaho,ID,> 8th Grade,2017,463,22181,30.25,R
605,Idaho,ID,Associate Degree,2017,2286,22181,28.95,R
606,Idaho,ID,Bahcelor's Degree,2017,4669,22181,30.25,R
607,Idaho,ID,Doctorate,2017,318,22181,33.55,R
608,Idaho,ID,High School Grad,2017,5581,22181,25.95,R
609,Idaho,ID,Master's Degree,2017,1050,22181,32.6,R
610,Idaho,ID,Some College Credit,2017,5749,22181,27.65,R
611,Idaho,ID,Unknown,2017,119,22181,28.1,R
612,Idaho,ID,9th > 12th Grade,2018,1801,21403,24.5,R
613,Idaho,ID,> 8th Grade,2018,414,21403,30.45,R
614,Idaho,ID,Associate Degree,2018,2148,21403,29.2,R
615,Idaho,ID,Bahcelor's Degree,2018,4673,21403,30.15,R
616,Idaho,ID,Doctorate,2018,300,21403,33.35,R
617,Idaho,ID,High School Grad,2018,5430,21403,26.1,R
618,Idaho,ID,Master's Degree,2018,1059,21403,32.75,R
619,Idaho,ID,Some College Credit,2018,5476,21403,27.7,R
620,Idaho,ID,Unknown,2018,102,21403,29.2,R
621,Idaho,ID,9th > 12th Grade,2019,1804,22063,24.55,R
622,Idaho,ID,> 8th Grade,2019,449,22063,30.7,R
623,Idaho,ID,Associate Degree,2019,2259,22063,29.25,R
624,Idaho,ID,Bahcelor's Degree,2019,4891,22063,30.35,R
625,Idaho,ID,Doctorate,2019,308,22063,33.45,R
626,Idaho,ID,High School Grad,2019,5503,22063,26.3,R
627,Idaho,ID,Master's Degree,2019,1160,22063,32.8,R
628,Idaho,ID,Some College Credit,2019,5562,22063,27.85,R
629,Idaho,ID,Unknown,2019,127,22063,28.4,R
630,Idaho,ID,9th > 12th Grade,2020,1754,21533,24.45,R
631,Idaho,ID,> 8th Grade,2020,393,21533,30.1,R
632,Idaho,ID,Associate Degree,2020,2207,21533,29.4,R
633,Idaho,ID,Bahcelor's Degree,2020,4984,21533,30.45,R
634,Idaho,ID,Doctorate,2020,315,21533,33.65,R
635,Idaho,ID,High School Grad,2020,5395,21533,26.35,R
636,Idaho,ID,Master's Degree,2020,1112,21533,32.5,R
637,Idaho,ID,Some College Credit,2020,5238,21533,27.85,R
638,Idaho,ID,Unknown,2020,135,21533,29.0,R
639,Idaho,ID,9th > 12th Grade,2021,1630,22427,24.65,R
640,Idaho,ID,> 8th Grade,2021,399,22427,30.9,R
641,Idaho,ID,Associate Degree,2021,2283,22427,29.3,R
642,Idaho,ID,Bahcelor's Degree,2021,5345,22427,30.3,R
643,Idaho,ID,Doctorate,2021,381,22427,33.8,R
644,Idaho,ID,High School Grad,2021,5443,22427,26.5,R
645,Idaho,ID,Master's Degree,2021,1306,22427,32.7,R
646,Idaho,ID,Some College Credit,2021,5436,22427,28.1,R
647,Idaho,ID,Unknown,2021,204,22427,29.6,R
648,Illinois,IL,9th > 12th Grade,2016,13870,154445,24.95,R
649,Illinois,IL,> 8th Grade,2016,3994,154445,30.6,R
650,Illinois,IL,Associate Degree,2016,12242,154445,29.85,R
651,Illinois,IL,Bahcelor's Degree,2016,34404,154445,31.5,R
652,Illinois,IL,Doctorate,2016,4645,154445,33.7,R
653,Illinois,IL,High School Grad,2016,32925,154445,26.55,R
654,Illinois,IL,Master's Degree,2016,18838,154445,32.95,R
655,Illinois,IL,Some College Credit,2016,30457,154445,27.65,R
656,Illinois,IL,Unknown,2016,3070,154445,29.9,R
657,Illinois,IL,9th > 12th Grade,2017,12844,149390,25.15,R
658,Illinois,IL,> 8th Grade,2017,3496,149390,30.75,R
659,Illinois,IL,Associate Degree,2017,11711,149390,29.95,R
660,Illinois,IL,Bahcelor's Degree,2017,33544,149390,31.65,R
661,Illinois,IL,Doctorate,2017,4539,149390,33.8,R
662,Illinois,IL,High School Grad,2017,32690,149390,26.55,R
663,Illinois,IL,Master's Degree,2017,18020,149390,33.0,R
664,Illinois,IL,Some College Credit,2017,29296,149390,27.85,R
665,Illinois,IL,Unknown,2017,3250,149390,30.05,R
666,Illinois,IL,9th > 12th Grade,2018,11739,144815,25.35,R
667,Illinois,IL,> 8th Grade,2018,3162,144815,30.65,R
668,Illinois,IL,Associate Degree,2018,11547,144815,30.05,R
669,Illinois,IL,Bahcelor's Degree,2018,33058,144815,31.75,R
670,Illinois,IL,Doctorate,2018,4588,144815,33.95,R
671,Illinois,IL,High School Grad,2018,32953,144815,26.75,R
672,Illinois,IL,Master's Degree,2018,17859,144815,33.15,R
673,Illinois,IL,Some College Credit,2018,27669,144815,28.1,R
674,Illinois,IL,Unknown,2018,2240,144815,30.4,R
675,Illinois,IL,9th > 12th Grade,2019,10453,140128,25.4,D
676,Illinois,IL,> 8th Grade,2019,2870,140128,30.75,D
677,Illinois,IL,Associate Degree,2019,11207,140128,30.1,D
678,Illinois,IL,Bahcelor's Degree,2019,32326,140128,31.85,D
679,Illinois,IL,Doctorate,2019,4567,140128,34.0,D
680,Illinois,IL,High School Grad,2019,32421,140128,26.8,D
681,Illinois,IL,Master's Degree,2019,17746,140128,33.25,D
682,Illinois,IL,Some College Credit,2019,26752,140128,28.3,D
683,Illinois,IL,Unknown,2019,1786,140128,30.75,D
684,Illinois,IL,9th > 12th Grade,2020,9814,133298,25.35,D
685,Illinois,IL,> 8th Grade,2020,2623,133298,31.1,D
686,Illinois,IL,Associate Degree,2020,10601,133298,30.15,D
687,Illinois,IL,Bahcelor's Degree,2020,31283,133298,31.9,D
688,Illinois,IL,Doctorate,2020,4380,133298,34.05,D
689,Illinois,IL,High School Grad,2020,30949,133298,26.85,D
690,Illinois,IL,Master's Degree,2020,16916,133298,33.3,D
691,Illinois,IL,Some College Credit,2020,24966,133298,28.5,D
692,Illinois,IL,Unknown,2020,1766,133298,30.8,D
693,Illinois,IL,9th > 12th Grade,2021,8829,132189,25.55,D
694,Illinois,IL,> 8th Grade,2021,2443,132189,30.4,D
695,Illinois,IL,Associate Degree,2021,10754,132189,30.25,D
696,Illinois,IL,Bahcelor's Degree,2021,32759,132189,32.0,D
697,Illinois,IL,Doctorate,2021,4824,132189,34.1,D
698,Illinois,IL,High School Grad,2021,29948,132189,27.05,D
699,Illinois,IL,Master's Degree,2021,17353,132189,33.4,D
700,Illinois,IL,Some College Credit,2021,23823,132189,28.7,D
701,Illinois,IL,Unknown,2021,1456,132189,31.4,D
702,Indiana,IN,9th > 12th Grade,2016,9134,83091,23.95,R
703,Indiana,IN,> 8th Grade,2016,3808,83091,28.85,R
704,Indiana,IN,Associate Degree,2016,7306,83091,29.4,R
705,Indiana,IN,Bahcelor's Degree,2016,16270,83091,30.5,R
706,Indiana,IN,Doctorate,2016,1532,83091,33.25,R
707,Indiana,IN,High School Grad,2016,22764,83091,25.5,R
708,Indiana,IN,Master's Degree,2016,5104,83091,32.15,R
709,Indiana,IN,Some College Credit,2016,17037,83091,27.25,R
710,Indiana,IN,Unknown,2016,136,83091,28.75,R
711,Indiana,IN,9th > 12th Grade,2017,8779,82170,24.2,R
712,Indiana,IN,> 8th Grade,2017,3827,82170,28.7,R
713,Indiana,IN,Associate Degree,2017,7051,82170,29.5,R
714,Indiana,IN,Bahcelor's Degree,2017,16043,82170,30.5,R
715,Indiana,IN,Doctorate,2017,1504,82170,33.15,R
716,Indiana,IN,High School Grad,2017,23165,82170,25.6,R
717,Indiana,IN,Master's Degree,2017,5014,82170,32.25,R
718,Indiana,IN,Some College Credit,2017,16650,82170,27.4,R
719,Indiana,IN,Unknown,2017,137,82170,27.75,R
720,Indiana,IN,9th > 12th Grade,2018,8453,81646,24.25,R
721,Indiana,IN,> 8th Grade,2018,3769,81646,28.85,R
722,Indiana,IN,Associate Degree,2018,6842,81646,29.7,R
723,Indiana,IN,Bahcelor's Degree,2018,16128,81646,30.6,R
724,Indiana,IN,Doctorate,2018,1601,81646,33.3,R
725,Indiana,IN,High School Grad,2018,23558,81646,25.65,R
726,Indiana,IN,Master's Degree,2018,4975,81646,32.4,R
727,Indiana,IN,Some College Credit,2018,16215,81646,27.55,R
728,Indiana,IN,Unknown,2018,105,81646,29.55,R
729,Indiana,IN,9th > 12th Grade,2019,8309,80859,24.3,R
730,Indiana,IN,> 8th Grade,2019,3854,80859,28.7,R
731,Indiana,IN,Associate Degree,2019,6464,80859,29.55,R
732,Indiana,IN,Bahcelor's Degree,2019,16257,80859,30.55,R
733,Indiana,IN,Doctorate,2019,1577,80859,33.2,R
734,Indiana,IN,High School Grad,2019,23993,80859,25.85,R
735,Indiana,IN,Master's Degree,2019,4916,80859,32.4,R
736,Indiana,IN,Some College Credit,2019,15388,80859,27.7,R
737,Indiana,IN,Unknown,2019,101,80859,28.95,R
738,Indiana,IN,9th > 12th Grade,2020,7629,78616,24.45,R
739,Indiana,IN,> 8th Grade,2020,3987,78616,28.75,R
740,Indiana,IN,Associate Degree,2020,6285,78616,29.75,R
741,Indiana,IN,Bahcelor's Degree,2020,16074,78616,30.55,R
742,Indiana,IN,Doctorate,2020,1664,78616,33.25,R
743,Indiana,IN,High School Grad,2020,23434,78616,26.0,R
744,Indiana,IN,Master's Degree,2020,4964,78616,32.4,R
745,Indiana,IN,Some College Credit,2020,14462,78616,27.9,R
746,Indiana,IN,Unknown,2020,117,78616,28.8,R
747,Indiana,IN,9th > 12th Grade,2021,7363,79946,24.65,R
748,Indiana,IN,> 8th Grade,2021,3897,79946,28.65,R
749,Indiana,IN,Associate Degree,2021,6544,79946,29.8,R
750,Indiana,IN,Bahcelor's Degree,2021,17013,79946,30.65,R
751,Indiana,IN,Doctorate,2021,1717,79946,33.15,R
752,Indiana,IN,High School Grad,2021,23268,79946,26.1,R
753,Indiana,IN,Master's Degree,2021,5391,79946,32.3,R
754,Indiana,IN,Some College Credit,2021,14538,79946,28.0,R
755,Indiana,IN,Unknown,2021,215,79946,29.75,R
756,Iowa,IA,9th > 12th Grade,2016,3098,39403,24.35,R
757,Iowa,IA,> 8th Grade,2016,1291,39403,30.15,R
758,Iowa,IA,Associate Degree,2016,5045,39403,29.25,R
759,Iowa,IA,Bahcelor's Degree,2016,9449,39403,30.3,R
760,Iowa,IA,Doctorate,2016,1045,39403,32.55,R
761,Iowa,IA,High School Grad,2016,9447,39403,26.05,R
762,Iowa,IA,Master's Degree,2016,2999,39403,31.8,R
763,Iowa,IA,Some College Credit,2016,6957,39403,27.15,R
764,Iowa,IA,Unknown,2016,72,39403,28.75,R
765,Iowa,IA,9th > 12th Grade,2017,3067,38430,24.75,R
766,Iowa,IA,> 8th Grade,2017,1263,38430,30.15,R
767,Iowa,IA,Associate Degree,2017,4853,38430,29.35,R
768,Iowa,IA,Bahcelor's Degree,2017,9119,38430,30.45,R
769,Iowa,IA,Doctorate,2017,1075,38430,32.65,R
770,Iowa,IA,High School Grad,2017,9406,38430,26.2,R
771,Iowa,IA,Master's Degree,2017,2982,38430,31.95,R
772,Iowa,IA,Some College Credit,2017,6607,38430,27.45,R
773,Iowa,IA,Unknown,2017,58,38430,28.0,R
774,Iowa,IA,9th > 12th Grade,2018,3091,37785,24.7,R
775,Iowa,IA,> 8th Grade,2018,1204,37785,30.05,R
776,Iowa,IA,Associate Degree,2018,4746,37785,29.45,R
777,Iowa,IA,Bahcelor's Degree,2018,9062,37785,30.4,R
778,Iowa,IA,Doctorate,2018,1047,37785,32.7,R
779,Iowa,IA,High School Grad,2018,9172,37785,26.35,R
780,Iowa,IA,Master's Degree,2018,3036,37785,32.1,R
781,Iowa,IA,Some College Credit,2018,6349,37785,27.45,R
782,Iowa,IA,Unknown,2018,78,37785,29.25,R
783,Iowa,IA,9th > 12th Grade,2019,2802,37649,25.05,R
784,Iowa,IA,> 8th Grade,2019,1236,37649,29.7,R
785,Iowa,IA,Associate Degree,2019,4649,37649,29.5,R
786,Iowa,IA,Bahcelor's Degree,2019,9161,37649,30.55,R
787,Iowa,IA,Doctorate,2019,1071,37649,32.75,R
788,Iowa,IA,High School Grad,2019,9289,37649,26.5,R
789,Iowa,IA,Master's Degree,2019,3092,37649,32.1,R
790,Iowa,IA,Some College Credit,2019,6263,37649,27.65,R
791,Iowa,IA,Unknown,2019,86,37649,28.3,R
792,Iowa,IA,9th > 12th Grade,2020,2829,36114,24.95,R
793,Iowa,IA,> 8th Grade,2020,1217,36114,29.85,R
794,Iowa,IA,Associate Degree,2020,4330,36114,29.45,R
795,Iowa,IA,Bahcelor's Degree,2020,8719,36114,30.5,R
796,Iowa,IA,Doctorate,2020,1020,36114,32.85,R
797,Iowa,IA,High School Grad,2020,9088,36114,26.6,R
798,Iowa,IA,Master's Degree,2020,2984,36114,32.05,R
799,Iowa,IA,Some College Credit,2020,5855,36114,27.85,R
800,Iowa,IA,Unknown,2020,72,36114,29.0,R
801,Iowa,IA,9th > 12th Grade,2021,2767,36835,25.2,R
802,Iowa,IA,> 8th Grade,2021,1256,36835,29.35,R
803,Iowa,IA,Associate Degree,2021,4487,36835,29.65,R
804,Iowa,IA,Bahcelor's Degree,2021,9170,36835,30.6,R
805,Iowa,IA,Doctorate,2021,1047,36835,32.9,R
806,Iowa,IA,High School Grad,2021,8971,36835,26.75,R
807,Iowa,IA,Master's Degree,2021,3262,36835,32.15,R
808,Iowa,IA,Some College Credit,2021,5809,36835,28.05,R
809,Iowa,IA,Unknown,2021,66,36835,29.3,R
810,Kansas,KS,9th > 12th Grade,2016,3627,38053,24.45,R
811,Kansas,KS,> 8th Grade,2016,1138,38053,29.3,R
812,Kansas,KS,Associate Degree,2016,3605,38053,28.9,R
813,Kansas,KS,Bahcelor's Degree,2016,8547,38053,30.55,R
814,Kansas,KS,Doctorate,2016,920,38053,32.85,R
815,Kansas,KS,High School Grad,2016,8625,38053,25.5,R
816,Kansas,KS,Master's Degree,2016,3330,38053,31.95,R
817,Kansas,KS,Some College Credit,2016,8151,38053,27.05,R
818,Kansas,KS,Unknown,2016,110,38053,28.5,R
819,Kansas,KS,9th > 12th Grade,2017,3285,36519,24.6,R
820,Kansas,KS,> 8th Grade,2017,1047,36519,29.35,R
821,Kansas,KS,Associate Degree,2017,3478,36519,28.8,R
822,Kansas,KS,Bahcelor's Degree,2017,8172,36519,30.6,R
823,Kansas,KS,Doctorate,2017,874,36519,33.1,R
824,Kansas,KS,High School Grad,2017,8695,36519,25.7,R
825,Kansas,KS,Master's Degree,2017,3188,36519,32.15,R
826,Kansas,KS,Some College Credit,2017,7665,36519,27.25,R
827,Kansas,KS,Unknown,2017,115,36519,29.45,R
828,Kansas,KS,9th > 12th Grade,2018,3199,36261,24.45,R
829,Kansas,KS,> 8th Grade,2018,1029,36261,29.45,R
830,Kansas,KS,Associate Degree,2018,3486,36261,29.0,R
831,Kansas,KS,Bahcelor's Degree,2018,8249,36261,30.75,R
832,Kansas,KS,Doctorate,2018,886,36261,32.95,R
833,Kansas,KS,High School Grad,2018,8832,36261,26.0,R
834,Kansas,KS,Master's Degree,2018,3096,36261,32.15,R
835,Kansas,KS,Some College Credit,2018,7350,36261,27.2,R
836,Kansas,KS,Unknown,2018,134,36261,29.4,R
837,Kansas,KS,9th > 12th Grade,2019,2984,35395,24.6,R
838,Kansas,KS,> 8th Grade,2019,1078,35395,29.0,R
839,Kansas,KS,Associate Degree,2019,3386,35395,29.1,R
840,Kansas,KS,Bahcelor's Degree,2019,8008,35395,30.7,R
841,Kansas,KS,Doctorate,2019,907,35395,33.1,R
842,Kansas,KS,High School Grad,2019,8551,35395,25.9,R
843,Kansas,KS,Master's Degree,2019,3243,35395,32.5,R
844,Kansas,KS,Some College Credit,2019,7079,35395,27.45,R
845,Kansas,KS,Unknown,2019,159,35395,29.4,R
846,Kansas,KS,9th > 12th Grade,2020,2725,34376,24.85,R
847,Kansas,KS,> 8th Grade,2020,1024,34376,29.15,R
848,Kansas,KS,Associate Degree,2020,3230,34376,29.0,R
849,Kansas,KS,Bahcelor's Degree,2020,7821,34376,30.75,R
850,Kansas,KS,Doctorate,2020,922,34376,33.15,R
851,Kansas,KS,High School Grad,2020,8766,34376,25.8,R
852,Kansas,KS,Master's Degree,2020,3112,34376,32.2,R
853,Kansas,KS,Some College Credit,2020,6591,34376,27.55,R
854,Kansas,KS,Unknown,2020,185,34376,29.55,R
855,Kansas,KS,9th > 12th Grade,2021,2538,34705,24.9,R
856,Kansas,KS,> 8th Grade,2021,1113,34705,29.1,R
857,Kansas,KS,Associate Degree,2021,3178,34705,29.3,R
858,Kansas,KS,Bahcelor's Degree,2021,8368,34705,30.75,R
859,Kansas,KS,Doctorate,2021,994,34705,32.9,R
860,Kansas,KS,High School Grad,2021,8961,34705,26.25,R
861,Kansas,KS,Master's Degree,2021,3171,34705,32.3,R
862,Kansas,KS,Some College Credit,2021,6177,34705,27.7,R
863,Kansas,KS,Unknown,2021,205,34705,29.25,R
