State,State Abbreviation,Education Level of Mother,Year,Number of Births,Total Births in State,Average Age of Mother (years)
Alabama,AL,9th > 12th Grade,2016,7093,59151,24
Alabama,AL,> 8th Grade,2016,2240,59151,27.7
Alabama,AL,Associate Degree,2016,4687,59151,28.95
Alabama,AL,Bahcelor's Degree,2016,9098,59151,30.3
Alabama,AL,Doctorate,2016,998,59151,32.95
Alabama,AL,High School Grad,2016,18061,59151,25.3
Alabama,AL,Master's Degree,2016,3884,59151,32.1
Alabama,AL,Some College Credit,2016,12969,59151,26.7
Alabama,AL,Unknown,2016,121,59151,27.45
Alabama,AL,9th > 12th Grade,2017,6628,58941,24.15
Alabama,AL,> 8th Grade,2017,1990,58941,27.6
Alabama,AL,Associate Degree,2017,4857,58941,28.9
Alabama,AL,Bahcelor's Degree,2017,8959,58941,30.45
Alabama,AL,Doctorate,2017,1139,58941,33.05
Alabama,AL,High School Grad,2017,18365,58941,25.4
Alabama,AL,Master's Degree,2017,3821,58941,31.95
Alabama,AL,Some College Credit,2017,13035,58941,26.85
Alabama,AL,Unknown,2017,147,58941,27.35
Alabama,AL,9th > 12th Grade,2018,6169,57761,24.3
Alabama,AL,> 8th Grade,2018,1856,57761,27.9
Alabama,AL,Associate Degree,2018,5034,57761,28.95
Alabama,AL,Bahcelor's Degree,2018,8833,57761,30.45
Alabama,AL,Doctorate,2018,1101,57761,33.25
Alabama,AL,High School Grad,2018,18306,57761,25.5
Alabama,AL,Master's Degree,2018,3857,57761,31.95
Alabama,AL,Some College Credit,2018,12493,57761,27
Alabama,AL,Unknown,2018,112,57761,27.25
Alabama,AL,9th > 12th Grade,2019,5855,58615,24.45
Alabama,AL,> 8th Grade,2019,2350,58615,27.85
Alabama,AL,Associate Degree,2019,5017,58615,28.95
Alabama,AL,Bahcelor's Degree,2019,8892,58615,30.45
Alabama,AL,Doctorate,2019,1056,58615,33.15
Alabama,AL,High School Grad,2019,18887,58615,25.55
Alabama,AL,Master's Degree,2019,3915,58615,32
Alabama,AL,Some College Credit,2019,12545,58615,27.1
Alabama,AL,Unknown,2019,98,58615,27.7
Alabama,AL,9th > 12th Grade,2020,5612,57647,24.65
Alabama,AL,> 8th Grade,2020,2294,57647,27.5
Alabama,AL,Associate Degree,2020,5096,57647,29.15
Alabama,AL,Bahcelor's Degree,2020,8850,57647,30.45
Alabama,AL,Doctorate,2020,1121,57647,33.25
Alabama,AL,High School Grad,2020,19011,57647,25.65
Alabama,AL,Master's Degree,2020,4076,57647,32
Alabama,AL,Some College Credit,2020,11508,57647,27.3
Alabama,AL,Unknown,2020,79,57647,30
Alabama,AL,9th > 12th Grade,2021,5240,58054,24.45
Alabama,AL,> 8th Grade,2021,2386,58054,27.75
Alabama,AL,Associate Degree,2021,5039,58054,29.1
Alabama,AL,Bahcelor's Degree,2021,9266,58054,30.45
Alabama,AL,Doctorate,2021,1220,58054,33.15
Alabama,AL,High School Grad,2021,19165,58054,25.8
Alabama,AL,Master's Degree,2021,4421,58054,31.85
Alabama,AL,Some College Credit,2021,11255,58054,27.5
Alabama,AL,Unknown,2021,62,58054,27.65
Alaska,AK,9th > 12th Grade,2016,1050,11209,24.4
Alaska,AK,> 8th Grade,2016,76,11209,28.2
Alaska,AK,Associate Degree,2016,906,11209,29.55
Alaska,AK,Bahcelor's Degree,2016,1848,11209,31
Alaska,AK,Doctorate,2016,187,11209,33.95
Alaska,AK,High School Grad,2016,3346,11209,26.15
Alaska,AK,Master's Degree,2016,719,11209,32.95
Alaska,AK,Some College Credit,2016,2911,11209,27.9
Alaska,AK,Unknown,2016,166,11209,29.5
Alaska,AK,9th > 12th Grade,2017,942,10445,24.3
Alaska,AK,> 8th Grade,2017,88,10445,28.1
Alaska,AK,Associate Degree,2017,844,10445,29.9
Alaska,AK,Bahcelor's Degree,2017,1722,10445,31.35
Alaska,AK,Doctorate,2017,185,10445,34.2
Alaska,AK,High School Grad,2017,3097,10445,26.55
Alaska,AK,Master's Degree,2017,688,10445,33.4
Alaska,AK,Some College Credit,2017,2723,10445,27.95
Alaska,AK,Unknown,2017,156,10445,29.2
Alaska,AK,9th > 12th Grade,2018,880,10086,24.9
Alaska,AK,> 8th Grade,2018,63,10086,28.45
Alaska,AK,Associate Degree,2018,838,10086,30.05
Alaska,AK,Bahcelor's Degree,2018,1737,10086,31.35
Alaska,AK,Doctorate,2018,209,10086,34.15
Alaska,AK,High School Grad,2018,3021,10086,26.5
Alaska,AK,Master's Degree,2018,643,10086,33.3
Alaska,AK,Some College Credit,2018,2556,10086,28.25
Alaska,AK,Unknown,2018,139,10086,29.2
Alaska,AK,9th > 12th Grade,2019,830,9822,25.15
Alaska,AK,> 8th Grade,2019,68,9822,29.8
Alaska,AK,Associate Degree,2019,776,9822,30.15
Alaska,AK,Bahcelor's Degree,2019,1675,9822,31.6
Alaska,AK,Doctorate,2019,221,9822,34.5
Alaska,AK,High School Grad,2019,3001,9822,26.75
Alaska,AK,Master's Degree,2019,636,9822,33.3
Alaska,AK,Some College Credit,2019,2446,9822,28.25
Alaska,AK,Unknown,2019,169,9822,29
Alaska,AK,9th > 12th Grade,2020,735,9469,25.9
Alaska,AK,> 8th Grade,2020,53,9469,29.05
Alaska,AK,Associate Degree,2020,813,9469,30.25
Alaska,AK,Bahcelor's Degree,2020,1579,9469,31.4
Alaska,AK,Doctorate,2020,230,9469,34.35
Alaska,AK,High School Grad,2020,2994,9469,26.7
Alaska,AK,Master's Degree,2020,612,9469,33.25
Alaska,AK,Some College Credit,2020,2300,9469,28.4
Alaska,AK,Unknown,2020,153,9469,28.6
Alaska,AK,9th > 12th Grade,2021,712,9367,24.85
Alaska,AK,> 8th Grade,2021,60,9367,29.35
Alaska,AK,Associate Degree,2021,752,9367,30.4
Alaska,AK,Bahcelor's Degree,2021,1697,9367,31.55
Alaska,AK,Doctorate,2021,219,9367,34.15
Alaska,AK,High School Grad,2021,2848,9367,26.8
Alaska,AK,Master's Degree,2021,654,9367,33.7
Alaska,AK,Some College Credit,2021,2257,9367,28.4
Alaska,AK,Unknown,2021,168,9367,29.3
Arizona,AZ,9th > 12th Grade,2016,12352,84520,24.85
Arizona,AZ,> 8th Grade,2016,2751,84520,29.6
Arizona,AZ,Associate Degree,2016,7173,84520,29.45
Arizona,AZ,Bahcelor's Degree,2016,13799,84520,31.1
Arizona,AZ,Doctorate,2016,1534,84520,33.55
Arizona,AZ,High School Grad,2016,21291,84520,26.2
Arizona,AZ,Master's Degree,2016,4984,84520,32.75
Arizona,AZ,Some College Credit,2016,20085,84520,27.65
Arizona,AZ,Unknown,2016,551,84520,27.9
Arizona,AZ,9th > 12th Grade,2017,11557,81872,24.9
Arizona,AZ,> 8th Grade,2017,2517,81872,29.65
Arizona,AZ,Associate Degree,2017,6756,81872,29.8
Arizona,AZ,Bahcelor's Degree,2017,13019,81872,31.2
Arizona,AZ,Doctorate,2017,1594,81872,33.6
Arizona,AZ,High School Grad,2017,21492,81872,26.35
Arizona,AZ,Master's Degree,2017,5141,81872,32.8
Arizona,AZ,Some College Credit,2017,19218,81872,27.85
Arizona,AZ,Unknown,2017,578,81872,28.75
Arizona,AZ,9th > 12th Grade,2018,11102,80723,25
Arizona,AZ,> 8th Grade,2018,2394,80723,29.5
Arizona,AZ,Associate Degree,2018,6887,80723,29.75
Arizona,AZ,Bahcelor's Degree,2018,13326,80723,31.2
Arizona,AZ,Doctorate,2018,1575,80723,33.9
Arizona,AZ,High School Grad,2018,21303,80723,26.5
Arizona,AZ,Master's Degree,2018,5111,80723,32.85
Arizona,AZ,Some College Credit,2018,18661,80723,28.05
Arizona,AZ,Unknown,2018,364,80723,28.55
Arizona,AZ,9th > 12th Grade,2019,10350,79375,25.1
Arizona,AZ,> 8th Grade,2019,2247,79375,29.7
Arizona,AZ,Associate Degree,2019,6803,79375,29.85
Arizona,AZ,Bahcelor's Degree,2019,13466,79375,31.2
Arizona,AZ,Doctorate,2019,1556,79375,34.05
Arizona,AZ,High School Grad,2019,21293,79375,26.6
Arizona,AZ,Master's Degree,2019,5073,79375,32.9
Arizona,AZ,Some College Credit,2019,18249,79375,28.2
Arizona,AZ,Unknown,2019,338,79375,28.75
Arizona,AZ,9th > 12th Grade,2020,9553,76947,25.2
Arizona,AZ,> 8th Grade,2020,1958,76947,29.5
Arizona,AZ,Associate Degree,2020,6703,76947,29.95
Arizona,AZ,Bahcelor's Degree,2020,13262,76947,31.25
Arizona,AZ,Doctorate,2020,1641,76947,33.95
Arizona,AZ,High School Grad,2020,20860,76947,26.7
Arizona,AZ,Master's Degree,2020,5026,76947,32.85
Arizona,AZ,Some College Credit,2020,17562,76947,28.4
Arizona,AZ,Unknown,2020,382,76947,29.2
Arizona,AZ,9th > 12th Grade,2021,9065,77916,25.3
Arizona,AZ,> 8th Grade,2021,1838,77916,29.4
Arizona,AZ,Associate Degree,2021,6807,77916,30
Arizona,AZ,Bahcelor's Degree,2021,14283,77916,31.2
Arizona,AZ,Doctorate,2021,1700,77916,34.2
Arizona,AZ,High School Grad,2021,21459,77916,26.9
Arizona,AZ,Master's Degree,2021,5313,77916,32.8
Arizona,AZ,Some College Credit,2021,17105,77916,28.55
Arizona,AZ,Unknown,2021,346,77916,28.95
Arkansas,AR,9th > 12th Grade,2016,4724,38274,23.9
Arkansas,AR,> 8th Grade,2016,928,38274,29.4
Arkansas,AR,Associate Degree,2016,2807,38274,28.4
Arkansas,AR,Bahcelor's Degree,2016,5530,38274,29.9
Arkansas,AR,Doctorate,2016,534,38274,32.55
Arkansas,AR,High School Grad,2016,12394,38274,25.1
Arkansas,AR,Master's Degree,2016,1961,38274,31.35
Arkansas,AR,Some College Credit,2016,9164,38274,26.5
Arkansas,AR,Unknown,2016,232,38274,27
Arkansas,AR,9th > 12th Grade,2017,4575,37520,24.1
Arkansas,AR,> 8th Grade,2017,872,37520,28.85
Arkansas,AR,Associate Degree,2017,2723,37520,28.45
Arkansas,AR,Bahcelor's Degree,2017,5356,37520,29.95
Arkansas,AR,Doctorate,2017,495,37520,32.4
Arkansas,AR,High School Grad,2017,12520,37520,25.25
Arkansas,AR,Master's Degree,2017,1948,37520,31.6
Arkansas,AR,Some College Credit,2017,8834,37520,26.65
Arkansas,AR,Unknown,2017,197,37520,27.65
Arkansas,AR,9th > 12th Grade,2018,4301,37018,24.2
Arkansas,AR,> 8th Grade,2018,860,37018,29.6
Arkansas,AR,Associate Degree,2018,2978,37018,28.4
Arkansas,AR,Bahcelor's Degree,2018,5291,37018,30.05
Arkansas,AR,Doctorate,2018,579,37018,32.5
Arkansas,AR,High School Grad,2018,11959,37018,25.2
Arkansas,AR,Master's Degree,2018,2187,37018,31.8
Arkansas,AR,Some College Credit,2018,8566,37018,26.75
Arkansas,AR,Unknown,2018,297,37018,27.7
Arkansas,AR,9th > 12th Grade,2019,3964,36564,24.2
Arkansas,AR,> 8th Grade,2019,799,36564,29.4
Arkansas,AR,Associate Degree,2019,2889,36564,28.5
Arkansas,AR,Bahcelor's Degree,2019,5265,36564,30.05
Arkansas,AR,Doctorate,2019,549,36564,32.85
Arkansas,AR,High School Grad,2019,12227,36564,25.3
Arkansas,AR,Master's Degree,2019,2244,36564,31.55
Arkansas,AR,Some College Credit,2019,8350,36564,26.9
Arkansas,AR,Unknown,2019,277,36564,26.85
Arkansas,AR,9th > 12th Grade,2020,3672,35251,24.25
Arkansas,AR,> 8th Grade,2020,823,35251,29.4
Arkansas,AR,Associate Degree,2020,2940,35251,28.6
Arkansas,AR,Bahcelor's Degree,2020,5200,35251,30.05
Arkansas,AR,Doctorate,2020,597,35251,32.65
Arkansas,AR,High School Grad,2020,11853,35251,25.4
Arkansas,AR,Master's Degree,2020,2185,35251,31.55
Arkansas,AR,Some College Credit,2020,7666,35251,27.05
Arkansas,AR,Unknown,2020,315,35251,26.7
Arkansas,AR,9th > 12th Grade,2021,3507,35965,24.5
Arkansas,AR,> 8th Grade,2021,784,35965,29.25
Arkansas,AR,Associate Degree,2021,3057,35965,28.7
Arkansas,AR,Bahcelor's Degree,2021,5540,35965,30
Arkansas,AR,Doctorate,2021,688,35965,32.9
Arkansas,AR,High School Grad,2021,12079,35965,25.45
Arkansas,AR,Master's Degree,2021,2512,35965,31.7
Arkansas,AR,Some College Credit,2021,7419,35965,27.05
Arkansas,AR,Unknown,2021,379,35965,28.3
California,CA,9th > 12th Grade,2016,48019,488827,26.6
California,CA,> 8th Grade,2016,20226,488827,31.4
California,CA,Associate Degree,2016,31795,488827,30.45
California,CA,Bahcelor's Degree,2016,94066,488827,32.25
California,CA,Doctorate,2016,13783,488827,34.65
California,CA,High School Grad,2016,117402,488827,27.1
California,CA,Master's Degree,2016,41680,488827,33.4
California,CA,Some College Credit,2016,96498,488827,28.4
California,CA,Unknown,2016,25358,488827,30.6
California,CA,9th > 12th Grade,2017,43176,471658,26.95
California,CA,> 8th Grade,2017,18261,471658,31.35
California,CA,Associate Degree,2017,30847,471658,30.55
California,CA,Bahcelor's Degree,2017,94168,471658,32.4
California,CA,Doctorate,2017,13703,471658,34.75
California,CA,High School Grad,2017,112979,471658,27.2
California,CA,Master's Degree,2017,41456,471658,33.55
California,CA,Some College Credit,2017,93242,471658,28.6
California,CA,Unknown,2017,23826,471658,30.95
California,CA,9th > 12th Grade,2018,38844,454920,27.2
California,CA,> 8th Grade,2018,16717,454920,31.35
California,CA,Associate Degree,2018,29872,454920,30.7
California,CA,Bahcelor's Degree,2018,92001,454920,32.5
California,CA,Doctorate,2018,13912,454920,34.8
California,CA,High School Grad,2018,108536,454920,27.4
California,CA,Master's Degree,2018,41821,454920,33.65
California,CA,Some College Credit,2018,88705,454920,28.8
California,CA,Unknown,2018,24512,454920,31.05
California,CA,9th > 12th Grade,2019,35283,446479,27.4
California,CA,> 8th Grade,2019,14910,446479,31.2
California,CA,Associate Degree,2019,29852,446479,30.75
California,CA,Bahcelor's Degree,2019,91537,446479,32.55
California,CA,Doctorate,2019,14070,446479,34.85
California,CA,High School Grad,2019,105388,446479,27.5
California,CA,Master's Degree,2019,42057,446479,33.7
California,CA,Some College Credit,2019,85435,446479,28.95
California,CA,Unknown,2019,27947,446479,31.15
California,CA,9th > 12th Grade,2020,31227,420259,27.55
California,CA,> 8th Grade,2020,13407,420259,31.25
California,CA,Associate Degree,2020,28365,420259,30.8
California,CA,Bahcelor's Degree,2020,86356,420259,32.6
California,CA,Doctorate,2020,13535,420259,34.9
California,CA,High School Grad,2020,99814,420259,27.65
California,CA,Master's Degree,2020,40136,420259,33.8
California,CA,Some College Credit,2020,78868,420259,29.1
California,CA,Unknown,2020,28551,420259,31.05
California,CA,9th > 12th Grade,2021,27491,420608,27.65
California,CA,> 8th Grade,2021,12510,420608,31
California,CA,Associate Degree,2021,28866,420608,30.85
California,CA,Bahcelor's Degree,2021,88077,420608,32.65
California,CA,Doctorate,2021,14585,420608,35.05
California,CA,High School Grad,2021,99304,420608,27.75
California,CA,Master's Degree,2021,41662,420608,33.85
California,CA,Some College Credit,2021,76913,420608,29.3
California,CA,Unknown,2021,31200,420608,31.05
Colorado,CO,9th > 12th Grade,2016,6082,66613,25.05
Colorado,CO,> 8th Grade,2016,1646,66613,30.55
Colorado,CO,Associate Degree,2016,5378,66613,29.8
Colorado,CO,Bahcelor's Degree,2016,16426,66613,31.65
Colorado,CO,Doctorate,2016,2011,66613,34.15
Colorado,CO,High School Grad,2016,13208,66613,26.35
Colorado,CO,Master's Degree,2016,6976,66613,33.25
Colorado,CO,Some College Credit,2016,14136,66613,27.85
Colorado,CO,Unknown,2016,750,66613,29.7
Colorado,CO,9th > 12th Grade,2017,5716,64382,25.3
Colorado,CO,> 8th Grade,2017,1647,64382,30.55
Colorado,CO,Associate Degree,2017,5223,64382,29.9
Colorado,CO,Bahcelor's Degree,2017,15743,64382,31.8
Colorado,CO,Doctorate,2017,2022,64382,34.3
Colorado,CO,High School Grad,2017,12697,64382,26.25
Colorado,CO,Master's Degree,2017,7057,64382,33.35
Colorado,CO,Some College Credit,2017,13381,64382,28
Colorado,CO,Unknown,2017,896,64382,29.65
Colorado,CO,9th > 12th Grade,2018,5291,62885,25.35
Colorado,CO,> 8th Grade,2018,1465,62885,30.55
Colorado,CO,Associate Degree,2018,4914,62885,30.15
Colorado,CO,Bahcelor's Degree,2018,15574,62885,31.85
Colorado,CO,Doctorate,2018,2050,62885,34.4
Colorado,CO,High School Grad,2018,12506,62885,26.5
Colorado,CO,Master's Degree,2018,7031,62885,33.4
Colorado,CO,Some College Credit,2018,13177,62885,28.1
Colorado,CO,Unknown,2018,877,62885,29.55
Colorado,CO,9th > 12th Grade,2019,5144,62869,25.45
Colorado,CO,> 8th Grade,2019,1504,62869,30.35
Colorado,CO,Associate Degree,2019,4991,62869,30.15
Colorado,CO,Bahcelor's Degree,2019,15825,62869,32
Colorado,CO,Doctorate,2019,2105,62869,34.5
Colorado,CO,High School Grad,2019,12598,62869,26.45
Colorado,CO,Master's Degree,2019,7217,62869,33.5
Colorado,CO,Some College Credit,2019,12669,62869,28.25
Colorado,CO,Unknown,2019,816,62869,29.7
Colorado,CO,9th > 12th Grade,2020,4809,61494,25.5
Colorado,CO,> 8th Grade,2020,1503,61494,30.35
Colorado,CO,Associate Degree,2020,4758,61494,30.15
Colorado,CO,Bahcelor's Degree,2020,15758,61494,32
Colorado,CO,Doctorate,2020,2150,61494,34.45
Colorado,CO,High School Grad,2020,12544,61494,26.6
Colorado,CO,Master's Degree,2020,7337,61494,33.45
Colorado,CO,Some College Credit,2020,12034,61494,28.45
Colorado,CO,Unknown,2020,601,61494,29.65
Colorado,CO,9th > 12th Grade,2021,4567,62949,25.45
Colorado,CO,> 8th Grade,2021,1377,62949,30
Colorado,CO,Associate Degree,2021,4722,62949,30.05
Colorado,CO,Bahcelor's Degree,2021,16975,62949,32.25
Colorado,CO,Doctorate,2021,2357,62949,34.5
Colorado,CO,High School Grad,2021,12443,62949,26.7
Colorado,CO,Master's Degree,2021,7864,62949,33.65
Colorado,CO,Some College Credit,2021,11943,62949,28.55
Colorado,CO,Unknown,2021,701,62949,29.95
Connecticut,CT,9th > 12th Grade,2016,2805,36015,26.15
Connecticut,CT,> 8th Grade,2016,812,36015,29.95
Connecticut,CT,Associate Degree,2016,3188,36015,30.5
Connecticut,CT,Bahcelor's Degree,2016,8460,36015,32.15
Connecticut,CT,Doctorate,2016,1414,36015,34.25
Connecticut,CT,High School Grad,2016,6688,36015,27.65
Connecticut,CT,Master's Degree,2016,6110,36015,33.05
Connecticut,CT,Some College Credit,2016,6422,36015,28.7
Connecticut,CT,Unknown,2016,116,36015,31.45
Connecticut,CT,9th > 12th Grade,2017,2732,35221,26.15
Connecticut,CT,> 8th Grade,2017,842,35221,30.45
Connecticut,CT,Associate Degree,2017,3162,35221,30.75
Connecticut,CT,Bahcelor's Degree,2017,8226,35221,32.2
Connecticut,CT,Doctorate,2017,1444,35221,34.3
Connecticut,CT,High School Grad,2017,6390,35221,27.6
Connecticut,CT,Master's Degree,2017,5961,35221,33.2
Connecticut,CT,Some College Credit,2017,6371,35221,28.9
Connecticut,CT,Unknown,2017,93,35221,30.3
Connecticut,CT,9th > 12th Grade,2018,2484,34725,26.3
Connecticut,CT,> 8th Grade,2018,766,34725,31
Connecticut,CT,Associate Degree,2018,3126,34725,30.7
Connecticut,CT,Bahcelor's Degree,2018,8200,34725,32.25
Connecticut,CT,Doctorate,2018,1456,34725,34.25
Connecticut,CT,High School Grad,2018,6587,34725,27.9
Connecticut,CT,Master's Degree,2018,5961,34725,33.25
Connecticut,CT,Some College Credit,2018,6078,34725,28.9
Connecticut,CT,Unknown,2018,67,34725,29
Connecticut,CT,9th > 12th Grade,2019,2393,34258,26.45
Connecticut,CT,> 8th Grade,2019,729,34258,30.65
Connecticut,CT,Associate Degree,2019,3142,34258,30.9
Connecticut,CT,Bahcelor's Degree,2019,8101,34258,32.35
Connecticut,CT,Doctorate,2019,1508,34258,34.3
Connecticut,CT,High School Grad,2019,6437,34258,27.95
Connecticut,CT,Master's Degree,2019,5936,34258,33.35
Connecticut,CT,Some College Credit,2019,5946,34258,29.1
Connecticut,CT,Unknown,2019,66,34258,28.25
Connecticut,CT,9th > 12th Grade,2020,2297,33460,26.6
Connecticut,CT,> 8th Grade,2020,780,33460,30.95
Connecticut,CT,Associate Degree,2020,2894,33460,30.8
Connecticut,CT,Bahcelor's Degree,2020,8042,33460,32.45
Connecticut,CT,Doctorate,2020,1465,33460,34.45
Connecticut,CT,High School Grad,2020,6570,33460,27.95
Connecticut,CT,Master's Degree,2020,5830,33460,33.4
Connecticut,CT,Some College Credit,2020,5525,33460,29.25
Connecticut,CT,Unknown,2020,57,33460,30.1
Connecticut,CT,9th > 12th Grade,2021,2256,35670,26.6
Connecticut,CT,> 8th Grade,2021,823,35670,30.5
Connecticut,CT,Associate Degree,2021,2959,35670,31.15
Connecticut,CT,Bahcelor's Degree,2021,9074,35670,32.6
Connecticut,CT,Doctorate,2021,1586,35670,34.35
Connecticut,CT,High School Grad,2021,6563,35670,27.95
Connecticut,CT,Master's Degree,2021,6590,35670,33.55
Connecticut,CT,Some College Credit,2021,5778,35670,29.6
Connecticut,CT,Unknown,2021,41,35670,29.9
Delaware,DE,9th > 12th Grade,2016,1089,10992,24.95
Delaware,DE,> 8th Grade,2016,573,10992,29.1
Delaware,DE,Associate Degree,2016,732,10992,30.2
Delaware,DE,Bahcelor's Degree,2016,2056,10992,31.2
Delaware,DE,Doctorate,2016,296,10992,33.8
Delaware,DE,High School Grad,2016,2959,10992,26.6
Delaware,DE,Master's Degree,2016,1140,10992,32.35
Delaware,DE,Some College Credit,2016,2088,10992,27.8
Delaware,DE,Unknown,2016,59,10992,28.5
Delaware,DE,9th > 12th Grade,2017,1043,10855,25.05
Delaware,DE,> 8th Grade,2017,537,10855,29.1
Delaware,DE,Associate Degree,2017,778,10855,29.85
Delaware,DE,Bahcelor's Degree,2017,1944,10855,31.25
Delaware,DE,Doctorate,2017,238,10855,33.45
Delaware,DE,High School Grad,2017,2916,10855,26.75
Delaware,DE,Master's Degree,2017,1202,10855,32.35
Delaware,DE,Some College Credit,2017,2151,10855,28.15
Delaware,DE,Unknown,2017,46,10855,28.85
Delaware,DE,9th > 12th Grade,2018,1048,10621,25.45
Delaware,DE,> 8th Grade,2018,461,10621,29.55
Delaware,DE,Associate Degree,2018,740,10621,30.5
Delaware,DE,Bahcelor's Degree,2018,1959,10621,31.45
Delaware,DE,Doctorate,2018,253,10621,33.8
Delaware,DE,High School Grad,2018,2824,10621,26.8
Delaware,DE,Master's Degree,2018,1144,10621,32.75
Delaware,DE,Some College Credit,2018,2127,10621,28.2
Delaware,DE,Unknown,2018,65,10621,28.2
Delaware,DE,9th > 12th Grade,2019,923,10562,25.55
Delaware,DE,> 8th Grade,2019,474,10562,29.85
Delaware,DE,Associate Degree,2019,750,10562,30.35
Delaware,DE,Bahcelor's Degree,2019,2009,10562,31.5
Delaware,DE,Doctorate,2019,286,10562,33.45
Delaware,DE,High School Grad,2019,2874,10562,26.95
Delaware,DE,Master's Degree,2019,1165,10562,32.7
Delaware,DE,Some College Credit,2019,1997,10562,28.4
Delaware,DE,Unknown,2019,84,10562,28.7
Delaware,DE,9th > 12th Grade,2020,844,10392,25.9
Delaware,DE,> 8th Grade,2020,509,10392,29.35
Delaware,DE,Associate Degree,2020,746,10392,30.5
Delaware,DE,Bahcelor's Degree,2020,1856,10392,31.55
Delaware,DE,Doctorate,2020,268,10392,34.25
Delaware,DE,High School Grad,2020,2802,10392,26.95
Delaware,DE,Master's Degree,2020,1138,10392,32.75
Delaware,DE,Some College Credit,2020,2016,10392,28.7
Delaware,DE,Unknown,2020,213,10392,30.25
Delaware,DE,9th > 12th Grade,2021,795,10482,25.85
Delaware,DE,> 8th Grade,2021,515,10482,28.4
Delaware,DE,Associate Degree,2021,805,10482,30.4
Delaware,DE,Bahcelor's Degree,2021,2078,10482,31.65
Delaware,DE,Doctorate,2021,244,10482,33.95
Delaware,DE,High School Grad,2021,2753,10482,27.05
Delaware,DE,Master's Degree,2021,1219,10482,33.1
Delaware,DE,Some College Credit,2021,1818,10482,28.7
Delaware,DE,Unknown,2021,255,10482,29.45
District of Columbia,DC,9th > 12th Grade,2016,985,9858,25.2
District of Columbia,DC,> 8th Grade,2016,308,9858,29.45
District of Columbia,DC,Associate Degree,2016,274,9858,30.7
District of Columbia,DC,Bahcelor's Degree,2016,1672,9858,32.4
District of Columbia,DC,Doctorate,2016,1065,9858,34.95
District of Columbia,DC,High School Grad,2016,2215,9858,26.7
District of Columbia,DC,Master's Degree,2016,1862,9858,34.4
District of Columbia,DC,Some College Credit,2016,1409,9858,27.75
District of Columbia,DC,Unknown,2016,68,9858,30.2
District of Columbia,DC,9th > 12th Grade,2017,952,9560,24.95
District of Columbia,DC,> 8th Grade,2017,283,9560,30.1
District of Columbia,DC,Associate Degree,2017,263,9560,30.8
District of Columbia,DC,Bahcelor's Degree,2017,1590,9560,32.65
District of Columbia,DC,Doctorate,2017,1014,9560,35
District of Columbia,DC,High School Grad,2017,2065,9560,26.75
District of Columbia,DC,Master's Degree,2017,1930,9560,34.45
District of Columbia,DC,Some College Credit,2017,1405,9560,28.15
District of Columbia,DC,Unknown,2017,58,9560,29.6
District of Columbia,DC,9th > 12th Grade,2018,828,9212,25.25
District of Columbia,DC,> 8th Grade,2018,275,9212,29.65
District of Columbia,DC,Associate Degree,2018,255,9212,30.9
District of Columbia,DC,Bahcelor's Degree,2018,1550,9212,32.95
District of Columbia,DC,Doctorate,2018,1070,9212,35.4
District of Columbia,DC,High School Grad,2018,2035,9212,27.1
District of Columbia,DC,Master's Degree,2018,1932,9212,34.7
District of Columbia,DC,Some College Credit,2018,1171,9212,28.55
District of Columbia,DC,Unknown,2018,96,9212,28.55
District of Columbia,DC,9th > 12th Grade,2019,748,9079,25.6
District of Columbia,DC,> 8th Grade,2019,257,9079,30.05
District of Columbia,DC,Associate Degree,2019,259,9079,31.25
District of Columbia,DC,Bahcelor's Degree,2019,1596,9079,33.1
District of Columbia,DC,Doctorate,2019,1040,9079,35.4
District of Columbia,DC,High School Grad,2019,2072,9079,27.3
District of Columbia,DC,Master's Degree,2019,1872,9079,34.75
District of Columbia,DC,Some College Credit,2019,1139,9079,28.9
District of Columbia,DC,Unknown,2019,96,9079,29.3
District of Columbia,DC,9th > 12th Grade,2020,806,8874,25.65
District of Columbia,DC,> 8th Grade,2020,273,8874,31.2
District of Columbia,DC,Associate Degree,2020,247,8874,31.15
District of Columbia,DC,Bahcelor's Degree,2020,1608,8874,33.05
District of Columbia,DC,Doctorate,2020,994,8874,35.45
District of Columbia,DC,High School Grad,2020,1797,8874,27.4
District of Columbia,DC,Master's Degree,2020,1937,8874,35.05
District of Columbia,DC,Some College Credit,2020,1128,8874,28.9
District of Columbia,DC,Unknown,2020,84,8874,30.35
District of Columbia,DC,9th > 12th Grade,2021,688,8660,26.2
District of Columbia,DC,> 8th Grade,2021,305,8660,30.05
District of Columbia,DC,Associate Degree,2021,226,8660,31.25
District of Columbia,DC,Bahcelor's Degree,2021,1499,8660,33.25
District of Columbia,DC,Doctorate,2021,1053,8660,35.5
District of Columbia,DC,High School Grad,2021,1704,8660,27.4
District of Columbia,DC,Master's Degree,2021,1948,8660,35.15
District of Columbia,DC,Some College Credit,2021,1053,8660,29.05
District of Columbia,DC,Unknown,2021,184,8660,28.4
Florida,FL,9th > 12th Grade,2016,20862,225022,25
Florida,FL,> 8th Grade,2016,6695,225022,28.7
Florida,FL,Associate Degree,2016,22599,225022,29.9
Florida,FL,Bahcelor's Degree,2016,39955,225022,31.5
Florida,FL,Doctorate,2016,4537,225022,33.6
Florida,FL,High School Grad,2016,69527,225022,27
Florida,FL,Master's Degree,2016,15897,225022,32.85
